sample_id,biosample,other_sample_id,collaborator_sample_id,dataset,env_broad_scale,env_medium,storage_medium,host_pooped,host_taxon,host_genus,host_species,animal_type,animal_ecomode,Clade_Order,Family,Diet,Diet_Detailed,Habitat,Metamorphosis,Reproduction,sex,svl,weight,collection_date,state,county,ecoregion_III,ecoregion_IV,site,gps_n,gps_w,walker_wash_swab_protocol,data_type,collector,notes_host,notes_lab,temp_code,,,,,,,,,,,,,,,,,,,,,,,,,
STP64,STP64,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee x chlorobryonis,Plethodon,chattahoochee x chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,64,,5/5/2014,GA,lumpkin,Piedmont,Southern Inner Piedmont,Roadside stop-hybrid zone,34.66327,-83.88833,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP67,STP67,NA,NA,cryo,wild,fecal,water,Y,Plethodon chattahoochee x chlorobryonis,Plethodon,chattahoochee x chlorobryonis,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, arthropods",Forest,Non-Meta,Oviparous,,80,,5/5/2014,GA,lumpkin,Piedmont,Southern Inner Piedmont,Roadside stop-hybrid zone,34.66327,-83.88833,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP70,STP70,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,50,,5/6/2014,GA,clay,Blue Ridge,Southern Crystalline Ridges and Mountains,Tate City,35.00486,-83.55448,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP71,STP71,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,56,,5/6/2014,GA,clay,Blue Ridge,Southern Crystalline Ridges and Mountains,Tate City,35.00486,-83.55448,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP73,STP73,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,60,,5/6/2014,GA,clay,Blue Ridge,Southern Crystalline Ridges and Mountains,Tate City,35.00486,-83.55448,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP74,STP74,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,74,,5/6/2014,GA,clay,Blue Ridge,Southern Crystalline Ridges and Mountains,Tate City,35.00486,-83.55448,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP76,STP76,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,55,,5/6/2014,GA,clay,Blue Ridge,Southern Crystalline Ridges and Mountains,Tate City,35.00486,-83.55448,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP77,STP77,NA,NA,cryo,wild,fecal,water,Y,Plethodon shermani,Plethodon,shermani,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,53,,5/6/2014,GA,clay,Blue Ridge,Southern Crystalline Ridges and Mountains,Tate City,35.00486,-83.55448,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP79,STP79,NA,NA,cryo,wild,fecal,water,Y,Plethodon metcalfi,Plethodon,metcalfi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,45,,5/6/2014,GA,rabun,Blue Ridge,Southern Crystalline Ridges and Mountains,Rabun Bald,34.97921,-83.30302,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP80,STP80,NA,NA,cryo,wild,fecal,water,Y,Plethodon metcalfi,Plethodon,metcalfi,Salamander,Terrestrial,Caudate,Plethodontidae,Insectivore,"Insects, earthworms, arthropods",Forest,Non-Meta,Oviparous,,50,,5/6/2014,GA,rabun,Blue Ridge,Southern Crystalline Ridges and Mountains,Rabun Bald,34.97921,-83.30302,1,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
